,상품명,상품가격,카테고리
1,(클럽 위크전용 쿠폰적용가 6천원) 메가박스 일반예매권 2D주중/주말 ,"15,000원",메가박스
2,10%+5% 나이키 뉴발란스 스우시 6팩 크루삭스 운동 스포츠양말 ,"14,900원",골프양말
3,((쿠폰가:12870원))1+1 든든한 퀄리티 캡커버 장우산 양산 ZH001 ,"14,300원",장우산
4,통영 자연산 대왕 바다장어 1kg (1kg에 2-3미/ 당일 조업 당일 손질/ 산지직송/아나고/붕장어) ,"19,900원",장어
5,섬유유연제 3100ml x2개+2300mlx3개(향선택)+시그300mlx2개/특가13690원 ,"17,900원",섬유유연제
6,(오플닷컴) 스트라다 단열 스테인레스 스틸 쉐이커 보틀 보냉 텀블러 화이트 710 ml 빠른직구 ,"24,900원",헬스보충제
7,HACCP인증/국내산 물김치 (얼갈이+열무)2kg/쿠폰가13320원 ,"14,800원",기타김치
8,한정11.9만 Orthomol(오쏘몰) Immun 이뮨 (정제+드링크) 1+1 무료배송 ,"143,300원",비타민
9,(최종가 13900원) 초대형 장우산 1+1 자동 튼튼한 골프 의전 우산 둘레 150cm ,"17,400원",장우산
10,특가 K6 기계식 유/무선 키보드 (한글자판) 블루투스5.0 RGB라이트 100키 부드러운 촉감 ,"37,800원",키보드
