순위,노래 제목,아티스트
1,Seven (feat. Latto) - Clean Ver.,정국
2,Super Shy,NewJeans
3,ETA,NewJeans
4,퀸카 (Queencard),(여자)아이들
5,헤어지자 말해요,박재정
6,I AM,IVE (아이브)
7,Steal The Show (From “엘리멘탈”),Lauv
8,Spicy,aespa
9,모래 알갱이,임영웅
10,New Jeans,NewJeans
11,"이브, 프시케 그리고 푸른 수염의 아내",LE SSERAFIM (르세라핌)
12,사랑은 늘 도망가,임영웅
13,Hype boy,NewJeans
14,우리들의 블루스,임영웅
15,사막에서 꽃을 피우듯,우디 (Woody)
16,Still With You,정국
17,다시 만날 수 있을까,임영웅
18,Kitsch,IVE (아이브)
19,무지개,임영웅
20,UNFORGIVEN (feat. Nile Rodgers),LE SSERAFIM (르세라핌)
21,이제 나만 믿어요,임영웅
22,London Boy,임영웅
23,Polaroid,임영웅
24,아버지,임영웅
25,Ditto,NewJeans
26,Cool With You,NewJeans
27,인생찬가,임영웅
28,A bientot,임영웅
29,손이 참 곱던 그대,임영웅
30,사랑해 진짜,임영웅
31,연애편지,임영웅
32,Dynamite,방탄소년단
33,Love Me Again,V
34,Summer (Feat. BE’O (비오)),Paul Blanco
35,Attention,NewJeans
36,ISTJ,NCT DREAM
37,보금자리,임영웅
38,OMG,NewJeans
39,Take Two,방탄소년단
40,손오공,세븐틴 (SEVENTEEN)
41,After LIKE,IVE (아이브)
42,꽃,지수 (JISOO)
43,Candy,NCT DREAM
44,LOVE DIVE,IVE (아이브)
45,사건의 지평선,윤하 (YOUNHA)
46,봄날,방탄소년단
47,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"정국, 방탄소년단"
48,Like Crazy,지민
49,I Don't Think That I Like Her,Charlie Puth
50,사람 Pt.2 (feat. 아이유),Agust D
51,Rainy Days,V
52,ASAP,NewJeans
53,Fast Forward,전소미
54,Butter,방탄소년단
55,Broken Melodies,NCT DREAM
56,잠깐 시간 될까,이무진
57,Dangerously,Charlie Puth
58,심(心),DK(디셈버)
59,파이팅 해야지 (Feat. 이영지),부석순 (SEVENTEEN)
60,Teddy Bear,STAYC(스테이씨)
61,사랑하지 않아서 그랬어,임한별
62,나에게 그대만이,탑현
63,on the street (with J. Cole),"j-hope, J. Cole"
64,Cupid,FIFTY FIFTY
65,여름이 들려 (Summer Comes),오마이걸 (OH MY GIRL)
66,사랑인가 봐,멜로망스
67,In Bloom,ZEROBASEONE (제로베이스원)
68,물론,허각
69,ANTIFRAGILE,LE SSERAFIM (르세라핌)
70,CAKE,ITZY (있지)
71,Permission to Dance,방탄소년단
72,그중에 그대를 만나,김호중
73,너의 모든 순간,성시경
74,Allergy,(여자)아이들
75,Yogurt Shake,NCT DREAM
76,사랑..그게 뭔데,지아
77,건물 사이에 피어난 장미 (Rose Blossom),H1-KEY (하이키)
78,민들레 (single ver.),우효
79,첫 키스에 내 심장은 120BPM,경서
80,파랑 (Blue Wave),NCT DREAM
81,사실말야내가말야그게그러니까말이야,케이시 (Kassy)
82,STAY,"The Kid LAROI, Justin Bieber"
83,사랑의 바보,제이세라
84,취중고백,김민석 (멜로망스)
85,당신을 만나,"김호중, 송가인"
86,TOMBOY,(여자)아이들
87,Like We Just Met,NCT DREAM
88,해요 (2022),#안녕
89,LIP GLOSS,더보이즈 (THE BOYZ)
90,Heaven(2023),임재현
91,나의 목소리로,김호중
92,다정히 내 이름을 부르면,"경서예지, 전건호"
93,That's Hilarious,Charlie Puth
94,I WANT,IVE (아이브)
95,"잘 지내자, 우리 (여름날 우리 X 로이킴)",로이킴
96,That’s Not How This Works (feat. Dan + Shay),Charlie Puth
97,빛이 나는 너에게,던 (DAWN)
98,Get Up,NewJeans
99,Nxde,(여자)아이들
100,"애인이 되어줄게요 (Prod. 알고보니, 혼수상태)",김호중
