메뉴이름,가격
오리 영양도시락,"6,900"
통살 오징어튀김,"2,900"
미나리 오징어 덮밥(매운맛),"5,500"
미나리 오징어 덮밥(오리지널),"5,500"
열무 감초고추장 비빔밥,"4,500"
열무 두부강된장 비빔밥,"4,900"
토네이도 소세지,"1,000"
토핑-계란후라이,800
치킨2조각,"1,300"
토핑-스팸,800
빅치킨마요,"3,600"
치킨마요,"3,000"
카츠카츠 도시락,"3,900"
핫 치즈 닭갈비 덮밥,"4,900"
오리지널 치즈 닭갈비 덮밥,"4,900"
돈까스도련님 고기고기,"5,500"
숯불직화구이 덮밥,"4,900"
진달래,"6,700"
통현미 닭강정(소),"2,900"
스팸 김치볶음밥,"3,900"
해바라기,"10,000"
매화,"10,500"
진달래,"7,800"
개나리,"8,500"
돈까스도련님고기고기,"6,500"
탕수육도련님고기고기,"6,000"
새치 고기고기,"7,000"
돈치 고기고기,"6,000"
카츠카츠 도시락,"4,800"
숯불직화구이,"6,600"
소불고기,"5,500"
메가치킨제육,"7,500"
칠리 찹쌀탕수육도련님,"4,400"
동백,"6,000"
치킨제육,"4,900"
돈까스도련님,"4,800"
제육볶음,"4,500"
돈치스팸 도시락,"5,000"
제육 김치찌개 정식,"8,600"
제육 김치 부대찌개 정식,"9,000"
돈치스팸 김치 부대찌개 정식,"9,000"
빅치킨마요 김치 부대찌개 정식,"8,000"
치킨마요 김치 부대찌개 정식,"7,400"
빅치킨마요 김치찌개 정식,"7,500"
치킨마요 김치찌개 정식,"6,900"
새후마요,"4,500"
메가스팸마요,"5,800"
스팸마요,"3,900"
메가치킨마요,"6,000"
왕치킨마요,"5,000"
빅치킨마요,"4,300"
치킨마요,"3,700"
참치마요,"3,500"
돈치마요,"4,000"
돈까스 카레,"4,700"
스팸 김치볶음밥,"4,700"
김치볶음밥,"3,900"
스팸철판볶음밥,"4,700"
소불고기 철판볶음밥,"4,900"
나시고랭,"6,200"
묵은지 김치찌개,"4,900"
김치 부대찌개,"6,000"
핫 치즈 닭갈비덮밥,"5,900"
오리지널 치즈 닭갈비덮밥,"5,900"
숯불직화구이 덮밥,"6,000"
마파두부 덮밥,"5,000"
왕카레돈까스덮밥,"6,000"
새우돈까스 덮밥,"4,200"
돈까스 덮밥,"4,100"
아보카도 훈제 닭가슴살 명란 비빔밥,"6,500"
아보카도 소불고기 명란 비빔밥,"6,500"
소불고기 감초고추장 비빔밥,"5,400"
시골제육 두부강된장 비빔밥,"5,200"
참치야채 감초고추장,"3,500"
튼튼도시락,"5,000"
반찬 묵은지김치찌개,"4,400"
반찬 카레,"2,900"
반찬 순살 고등어 간장구이,"3,900"
반찬 김치 부대찌개,"4,900"
반찬 치킨,"3,800"
반찬 고기고기,"3,600"
반찬 돈까스 도련님,"4,100"
반찬 제육볶음,"3,500"
반찬 토네이도 소세지,"2,800"
반찬 반달돈까스,"2,900"
치즈버터 해시 포테이토 스틱,"2,200"
허니버터 해시 포테이토 스틱,"2,200"
해시 포테이토 스틱,"2,000"
뉴 감자고로케,"2,700"
미니 찹쌀핫도그,"2,800"
미니 찹쌀탕수육,"2,200"
케이준후라이,"1,900"
통현미 닭강정(소),"3,500"
통현미 닭강정(중),"8,500"
후라이드 순살(중),"7,500"
후라이드 순살(소)_양념치킨소스,"4,000"
후라이드 순살(소)_케이준소스,"4,000"
오리지널 닭강정(중),"8,500"
오리지널 닭강정(소),"3,500"
반찬 무생채,400
3종 미니반찬B,"1,300"
3종 미니반찬A,"1,300"
반찬 열무김치,500
오징어젓갈,600
한솥 두부강된장소스,"1,800"
한솥 감초볶음고추장소스,500
볶음김치,500
김치,400
무말랭이 무침,500
한솥밥,"1,000"
현미밥,"1,700"
리얼 티라미수 찰떡,"1,700"
리얼꿀 미니호떡,"2,200"
